seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
45,Louis,Watkins,27,Ufhul Glen,Fudceuj,NE,66955,$8699.74,RED,01/04/1978
46,Adelaide,Gonzalez,21,Kesbeh Extension,Ledgugos,NV,21384,$8960.69,GREEN,12/13/1972
47,Frances,Phelps,29,Zosci Junction,Bozewji,NJ,28933,$1370.26,BLUE,08/22/2069
48,Sam,McDonald,37,Moepo Pass,Binreofu,NE,16300,$5512.62,GREEN,12/08/2047
49,Clara,Ballard,63,Kakuz Loop,Dosepula,OK,26407,$1456.46,WHITE,02/23/2049
50,Lena,Davidson,51,Lanti Parkway,Mokunuz,MO,63956,$4416.15,GREEN,05/05/1987
51,Grace,Spencer,44,Widid Road,Buzcoubu,AR,43805,$2865.83,BLUE,05/21/1977
52,Rosa,Shaw,39,Edejim Ridge,Weatluf,IN,76520,$2816.04,GREEN,02/16/2024
53,Theresa,Franklin,52,Vubce Ridge,Okelevlur,IA,60075,$128.39,RED,02/09/1974
54,Gary,Obrien,57,Jufeh Circle,Cosumac,WA,95442,$9381.16,BLUE,08/15/2035
55,Jon,Parks,34,Matez Point,Gejoktom,TN,76255,$1910.63,RED,03/06/1936
56,Louise,Welch,23,Momos River,Mulwedkiz,MI,63197,$7891.30,GREEN,01/06/2024
57,Katie,Bowers,54,Daplo Square,Reklifo,DC,38547,$6518.97,WHITE,07/07/1950
58,Ronnie,Stephens,53,Uridun Circle,Mojlopda,WI,56668,$3922.65,YELLOW,08/15/1940
59,Lida,Gibson,51,Morkub Avenue,Romsopaf,MT,01660,$5315.22,RED,11/08/1987
60,Harvey,Tate,49,Garpem Avenue,Meromig,MO,48255,$5337.97,GREEN,09/01/1946
61,Ann,Schultz,52,Linu Trail,Tohafun,NC,33527,$349.65,GREEN,09/14/1947
62,Jeremiah,Nelson,50,Huil Plaza,Lanojjof,MN,70557,$3334.83,GREEN,04/03/2065
63,Luis,Cummings,62,Saret Point,Woziil,TN,91739,$5451.08,GREEN,12/16/1910
64,Calvin,Briggs,58,Coizu Way,Uzlewli,SC,73385,$60.49,YELLOW,06/08/2034
65,Ian,Miles,21,Azhaj Pass,Ewjiuc,VT,69221,$3013.38,BLUE,08/01/2067
66,Cory,Estrada,58,Tezfa Ridge,Bonhigov,TX,36323,$2873.00,RED,08/16/2064
67,Mildred,Goodman,46,Nuwza Heights,Negusiz,ND,50139,$6048.52,BLUE,05/16/2025
68,Katie,Jones,55,Ufakut Path,Laobiho,NV,67808,$6972.09,YELLOW,12/14/1959
69,Adele,Weber,23,Hocu Drive,Cidcirmed,MS,92427,$8332.27,YELLOW,07/03/2034
70,Clifford,Young,52,Libis Mill,Nakufuj,UT,25784,$4263.48,WHITE,03/07/2045
71,Steve,Thornton,51,Soebu Junction,Owtewruv,AR,93704,$6491.16,WHITE,12/07/1992
72,Caleb,Duncan,52,Humne Park,Ibreefu,SD,88397,$3345.91,GREEN,02/08/1992
73,Marc,Tyler,21,Gifil Pike,Zagosu,CA,44790,$8693.57,BLUE,05/29/1992
74,Nathan,Rhodes,38,Wosol Terrace,Sekuil,VA,22354,$1104.48,YELLOW,05/10/2003
75,Francisco,Richards,35,Balaj Square,Caipasi,ID,86378,$7812.16,GREEN,02/15/1994
76,Nathan,Obrien,47,Gimke View,Hujumas,MA,52681,$3240.75,BLUE,06/21/2040
77,Earl,Hale,60,Gujkoc Lane,Gupvubra,MS,17894,$633.93,RED,12/02/1935
78,Jay,Stephens,23,Owzu Heights,Fiwatof,TX,60027,$2828.84,RED,11/17/2024
79,Lilly,Clarke,20,Zeanu Pike,Bawupdec,MA,87737,$243.01,BLUE,03/01/1986
80,Eula,Daniel,36,Jaklaf Mill,Ojudepu,OH,60420,$4112.68,RED,03/07/1989
81,Alberta,Bowers,46,Pehi Way,Bilsoldol,RI,41670,$426.98,GREEN,06/30/1954
82,Ada,Cruz,24,Rohoto Turnpike,Gunefive,MO,92656,$3790.31,GREEN,08/28/1985
83,Ella,Bishop,45,Raci Grove,Jocire,ND,98614,$50.49,YELLOW,09/12/2013
84,Lucas,Guzman,18,Mecku Parkway,Nicbatmij,ID,48847,$5895.37,GREEN,02/20/1948
85,Ray,Mason,39,Wavlu Avenue,Urlokren,AR,53758,$9168.91,RED,02/22/1967
86,Leona,Reed,49,Suwtu Loop,Apzici,GA,92429,$6430.99,GREEN,05/05/1996
87,Eula,Larson,46,Keke Plaza,Kihzohizu,UT,12183,$1743.72,BLUE,05/19/1959
88,Adele,Ellis,26,Esuli Terrace,Anewuzot,MT,47658,$1746.08,BLUE,03/05/2008
89,Ina,Frank,55,Olnu Park,Hucohvas,WA,86288,$4280.27,RED,06/18/2035
90,Sophie,Hudson,21,Idfim Junction,Fajikugeg,LA,45801,$9322.60,RED,06/02/2067
91,Marc,Spencer,44,Weror Terrace,Nujumte,TN,89007,$3141.24,GREEN,01/28/1947
92,Mitchell,Webster,55,Kulhan Loop,Lizbewu,NV,10674,$7831.46,RED,03/12/1962
93,Nettie,Day,48,Ceswad Heights,Fosigeme,TX,78376,$3623.16,YELLOW,11/06/2036
94,Norman,Jordan,34,Ijtad Court,Husvouje,TN,41480,$5624.87,WHITE,05/31/1916
95,Craig,Hampton,44,Alarej Pass,Agzonve,MN,00487,$7084.18,YELLOW,10/08/2024
96,Mitchell,Mills,40,Vuti Way,Rugpiwted,NE,49541,$8083.67,YELLOW,12/26/2053
97,Lucinda,Burgess,32,Fezroj River,Nasudac,TN,87293,$3091.09,RED,06/30/2047
98,Derrick,Griffith,45,Jobek Trail,Pujetdu,NM,51728,$175.36,RED,11/13/2028
99,Georgie,Gregory,52,Segwi View,Tihudez,CT,64028,$6410.20,YELLOW,01/30/1948
100,Lilly,Burgess,42,Hafvep Lane,Panhijsab,DE,47936,$7474.19,WHITE,09/10/2047
